id_mutation,nom_station,distance_station_plus_proche
2022-1622820,Pyrénées,127.2614555546386
2022-1622835,Cadet,190.9698135875545
2022-1622842,Laumière,204.42730234611935
2022-1622847,Château Rouge,369.6935064159601
2022-1622849,Diane Arbus,316.4041626263008
2022-1622859,Villiers,287.95374265229407
2022-1622873,Rome,209.57581820659908
2022-1622876,Porte de Pantin,207.18629529218393
2022-1622881,Pigalle,89.66508576801235
2022-1622886,Riquet,389.17252395574724
2022-1622891,Pelleport,188.32664289088947
2022-1622893,Marx Dormoy,264.1759199129244
2022-1622897,Pyrénées,127.2614555546386
2022-1622904,Maraîchers,208.9877300715911
2022-1622905,Maraîchers,208.9877300715911
2022-1622907,Blanche,396.53384864113997
2022-1622908,Bonne Nouvelle,216.73531750197972
2022-1622938,Crimée,155.8556021902989
2022-1622939,Crimée,180.96516838252708
2022-1622940,Château Rouge,266.3273687757545
2022-1622955,Jaurès,160.60398798689084
2022-1622958,Gambetta,295.5787943955663
2022-1622960,Danube,121.8704627268528
2022-1622975,Maraîchers,202.18026634094005
2022-1622980,Guy Môquet,200.71666017304693
2022-1622984,Saint-Georges,100.48426008133835
2022-1622986,Jules Joffrin,224.55274021146806
2022-1622987,Barbès-Rochechouart,243.7197499726841
2022-1622994,Brochant,413.01161640420077
2022-1622996,Crimée,180.96516838252708
2022-1623004,La Chapelle,189.4062483875991
2022-1623005,Marx Dormoy,166.9653071192442
2022-1623008,Marx Dormoy,201.35139453123952
2022-1623011,Château Rouge,130.73214891207166
2022-1623014,Guy Môquet,289.3747039101397
2022-1623024,Corentin Cariou,91.05584289087663
2022-1623042,Couronnes,279.09772760077556
2022-1623044,Pelleport,374.5684442795435
2022-1623047,Crimée,219.78322354537022
2022-1623049,Rome,224.4093773296275
2022-1623052,Bonne Nouvelle,370.38332142453936
2022-1623053,Télégraphe,215.9761742222375
2022-1623069,Stalingrad,67.07091262169541
2022-1623069,Stalingrad,67.07091262169541
2022-1623070,Arts et Métiers,221.39419052298578
2022-1623071,Arts et Métiers,221.39419052298578
2022-1623074,Guy Môquet,296.5447114469821
2022-1623081,Porte de Clignancourt,130.7231508962534
2022-1623086,Saint-Augustin,107.41693980336971
2022-1623092,Jacques Bonsergent,169.21844807149182
2022-1623095,Neuilly Porte Maillot,453.7119993539287
2022-1623098,Porte de Champerret,40.279694081617095
2022-1623114,Angélique Compoint,150.63285517442947
2022-1623120,Pigalle,177.8152472158722
2022-1623121,Porte de la Chapelle,363.4047237855992
2022-1623142,La Fourche,140.2346675543236
2022-1623152,Colonel Fabien,99.25161252827729
2022-1623155,Porte de Saint-Ouen,295.06423246588867
2022-1623169,Crimée,70.00286114419
2022-1623172,Marx Dormoy,200.7127790503424
2022-1623178,Strasbourg-Saint-Denis,177.35172546082956
2022-1623180,Brochant,190.41594814218612
2022-1623193,Crimée,169.7799488135144
2022-1623196,Riquet,389.17252395574724
2022-1623210,Alma-Marceau,96.66611541951988
2022-1623227,Crimée,70.00286114419
2022-1623227,Crimée,70.00286114419
2022-1623230,Ourcq,280.65669528372706
2022-1623232,Avron,243.62256876255776
2022-1623237,La Chapelle,227.57653960299731
2022-1623244,Alexandre Dumas,266.1590085829971
2022-1623247,Corentin Cariou,263.1024310196908
2022-1623263,Goncourt,400.7359775833148
2022-1623270,Porte de Clignancourt,150.99179000133267
2022-1623274,Rome,389.36411774946436
2022-1623288,Jourdain,200.29877737359755
2022-1623308,Simplon,95.46591793571953
2022-1623312,Maraîchers,220.39195703729612
2022-1623334,Ourcq,280.65669528372706
2022-1623341,Poissonnière,183.54584050063278
2022-1623343,Pyrénées,65.13188708889466
2022-1623346,Marie de Miribel,97.5439569248646
2022-1623348,Saint-Philippe du Roule,176.31184624824147
2022-1623364,Maraîchers,209.65757659698573
2022-1623365,Grands Boulevards,151.37244917642246
2022-1623372,Gare de l'Est,166.73668816685583
2022-1623388,Marie de Miribel,149.78862390226104
2022-1623398,Jules Joffrin,143.45467304375452
2022-1623399,Diane Arbus,256.12646852820666
2022-1623410,Blanche,225.2798374676788
2022-1623414,Château Rouge,291.69902749016455
