id_mutation,nom_ev,distance_parc_plus_proche
2022-1623237,JARDIN FRANCOISE HELENE JOURDA,195.77827373173713
2022-1623244,JARDIN DAMIA,248.8599413843801
2022-1623247,JARDIN DU VER TETU,194.86926222290342
2022-1623263,SQUARE JULIETTE DODU,254.03805538051267
2022-1623270,SQUARE SAINTE-HELENE,32.518984280784274
2022-1623274,SQUARE HELENE,540.8431839222233
2022-1623288,JARDIN DE LA RUE DES COURONNES,531.0419348924597
2022-1623308,JARDIN DE LA RUE DU SIMPLON (JARDIN D'ENFANTS),129.04716518042065
2022-1623312,SQUARE SARAH BERNHARDT,202.81732814592186
2022-1623334,PROMENADE PC 19 - THIONVILLE - JAURES,230.69187565306515
2022-1623341,SQUARE MONTHOLON,62.19218988848095
2022-1623343,PARC DE BELLEVILLE,183.50776467714897
2022-1623346,SQUARE DES GRES,219.7506983858571
2022-1623348,JARDIN TERESKA TORRES-LEVIN,413.1953287913346
2022-1623364,SQUARE SARAH BERNHARDT,207.82152786690037
2022-1623365,JARDIN DE LA MAIRIE DU IXEME,391.3828135328742
2022-1623372,JARDIN MARIELLE-FRANCO,208.90077420475077
2022-1623388,SQUARE DES GRES,204.11142288958436
2022-1623398,SQUARE SAINTE-HELENE,343.8878807787179
2022-1623399,SQUARE DU 21 AVRIL 1944,607.1714965039884
2022-1623410,JARDIN LOUISE WEBER DITE LA GOULUE,284.577668980452
2022-1623414,SQUARE DU PASSAGE LEON,352.7837629494543
2022-1623422,PROMENADE DE LA FORET LINEAIRE,120.16838581748873
2022-1623427,SQUARE SAINTE-HELENE,255.74788084626982
2022-1623441,SQUARE DE LA VILLA SAINTE-CROIX,212.97771681994578
2022-1623455,ESPACE VERT DE LA PLACE DE L'EDIT DE NANTES,225.62266018738651
2022-1623459,JARDIN DU 8 RUE DE LA MADONE (JARDIN EVANGILE),113.139217847613
2022-1623474,SQUARE JACQUES BIDAUT,203.6363076085427
2022-1623483,SQUARE MAURICE KRIEGEL-VALRIMONT DIT SQUARE DE CLIGNANCOURT,233.26671610648262
2022-1623483,SQUARE MAURICE KRIEGEL-VALRIMONT DIT SQUARE DE CLIGNANCOURT,233.26671610648262
2022-1623484,JARDIN RUE DU CHALET,188.196615854531
2022-1623494,JARDIN MARIA VERONE,214.9855525513561
2022-1623498,JARDIN NUSCH ELUARD,159.18131776819243
2022-1623499,SQUARE SAINTE-HELENE,255.74788084626982
2022-1623505,SQUARE BERLIOZ,270.13228390792796
2022-1623506,SQUARE DU PASSAGE LEON,332.5982383326653
2022-1623515,SQUARE DU REGARD DE LA LANTERNE,132.97614332168362
2022-1623535,SQUARE DES BATIGNOLLES,273.2823132370724
2022-1623537,JARDIN DE LA RUE DU SIMPLON (JARDIN D'ENFANTS),214.19912442441233
2022-1623540,JARDIN DE LA RUE REBEVAL,465.414668612343
2022-1623541,SQUARE SAINTE-HELENE,343.8878807787179
2022-1623543,SQUARE ERNEST GOUIN,149.03398263977323
2022-1623545,SQUARE DU PETIT BOIS,300.10588656165356
2022-1623547,SQUARE DU REGARD DE LA LANTERNE,264.8426560393677
2022-1623556,MAIL MARCEL ACHARD,329.07489870937655
2022-1623557,SQUARE DE LA PLACE PASDELOUP,264.4449194042045
2022-1623559,SQUARE JEAN LECLAIRE,207.48106647592132
2022-1623563,SQUARE DU PASSAGE MONCEY,243.097000750219
2022-1623564,JARDIN DE LA RUE DES COURONNES,531.0419348924597
2022-1623565,JARDIN DE LA RUE REBEVAL,465.414668612343
2022-1623565,JARDIN DE LA RUE REBEVAL,465.414668612343
2022-1623583,JARDIN DE LA FONDATION NATIONALE DES ARTS GRAPHIQUES ET PLASTIQUES SALOMON DE ROTHSCHILD,494.6401668691005
2022-1623585,JARDIN PIERRE SEGHERS,172.69161629766154
2022-1623590,JARDIN DE LA RUE NOEL BALLAY,189.0744173879669
2022-1623596,SQUARE PAUL ROBIN,117.35735261027249
2022-1623601,SQUARE EUGENE VARLIN,450.92790064811504
2022-1623604,SQUARE MONTHOLON,223.4018210290068
2022-1623607,JARDIN MARIELLE-FRANCO,151.6617280545398
2022-1623609,JARDIN PAULE MINCK,241.46958215020635
2022-1623620,SQUARE JEROME BELLAT,168.585720054411
2022-1623623,SQUARE AMADOU HAMPATE BA,515.3662049400803
2022-1623629,SQUARE D'ANVERS-JEAN-CLAUDE CARRIERE,511.63059937071284
2022-1623630,SQUARE NADAR,145.1230055982714
2022-1623637,JARDIN DES PETITES RIGOLES,91.94670947714862
2022-1623643,SQUARE EUGENE VARLIN,338.3297212448349
2022-1623647,JARDIN DES RUES DES ORTEAUX - CROIX SAINT-SIMON,436.48959177166563
2022-1623652,SQUARE EMILE CHAUTEMPS,380.70475618058026
2022-1623661,PROMENADE RUE D'AUBERVILLIERS,106.50652150098253
2022-1623669,SQUARE SAINT-LAURENT,247.01727759295872
2022-1623670,JARDIN DE L EGLISE SAINT GERMAIN DE CHARONNE,68.82131265177566
2022-1623682,JARDIN RUE DU CHALET,292.1625815371463
2022-1623686,SQUARE EMMI PIKLER,121.95196184764967
2022-1623689,JARDIN DES RUES MARONITES - PRESSOIR,87.04263300815977
2022-1623704,SQUARE MADELEINE TRIBOLATI,124.2852536612395
2022-1623717,SQUARE MARCEL PAGNOL,541.9933110084747
2022-1623719,SQUARE ERNEST GOUIN,157.6472211372012
2022-1623719,SQUARE ERNEST GOUIN,157.6472211372012
2022-1623724,SQUARE ERNEST GOUIN,184.00930761520323
2022-1623727,JARDIN DE LA RUE DU SIMPLON (JARDIN D'ENFANTS),129.04716518042065
2022-1623728,SQUARE FERNAND FOUREAU,159.46947810642092
2022-1623732,SQUARE RUES BELLEVILLE - TELEGRAPHE,305.2127177632936
2022-1623736,SQUARE SAINTE-HELENE,183.71116211503238
2022-1623738,JARDIN DU CLOS DES BLANCS MANTEAUX,200.32297226163445
2022-1623744,SQUARE EDOUARD VAILLANT,395.1770344947812
2022-1623765,JARDIN LUC HOFFMANN,517.1845418692462
2022-1623765,JARDIN LUC HOFFMANN,517.1845418692462
2022-1623765,JARDIN LUC HOFFMANN,517.1845418692462
2022-1623767,SQUARE D'ANVERS-JEAN-CLAUDE CARRIERE,159.48094033317764
2022-1623771,PROMENADE PC 19 - THIONVILLE - JAURES,286.36218140310916
2022-1623782,SQUARE DU PASSAGE LEON,247.9759317340657
2022-1623788,JARDIN ANDRE ULMANN,137.98664973276078
2022-1623789,JARDIN DU 60 RUE DE LA JUSTICE,215.05386980637334
2022-1623790,JARDIN DE LA BIBLIOTHEQUE THIERS (FONDATION DOSNE),195.48700684227134
2022-1623802,JARDIN DE L'ILOT RIQUET,415.4979184691004
2022-1623804,SQUARE DU SERGENT AURELIE SALEL,184.594492033661
2022-1623809,SQUARE ALBAN SATRAGNE,266.4921461156105
2022-1623816,JARDIN NELSON MANDELA,518.9277839512537
2022-1623818,JARDIN DE LA RUE COMPANS,272.2510150131875
2022-1623825,JARDIN GABRIELE BUFFET,232.62713769003153
2022-1623831,SQUARE DES GRES,108.41089767541992
2022-1623831,SQUARE DES GRES,108.41089767541992
2022-1623832,SQUARE SAINT-BERNARD - SAID BOUZIRI,69.71715461115127
2022-1623837,JARDIN DES RUES MARONITES - PRESSOIR,56.10792059307546
2022-1623838,SQUARE JEROME BELLAT,56.23342820602018
2022-1623839,JARDIN DE L'HOTEL SALE - LEONOR FINI,329.73129136153625
2022-1623841,JARDIN PAULE MINCK,431.1860189847799
2022-1623842,JARDIN DE LA MAIRIE DU VIIIEME,308.3757567198415
2022-1623851,PROMENADE PC 19 - THIONVILLE - JAURES,172.65658210193308
2022-1623861,MAIL MARCEL ACHARD,290.7163059235719
2022-1623866,PROMENADE PC 19 - THIONVILLE - JAURES,186.56923738449436
2022-1623867,JARDIN FRANCOISE HELENE JOURDA,271.6887564883006
2022-1623877,JARDIN PIXERECOURT,126.7170358107656
2022-1623889,SQUARE SAINTE-HELENE,275.8825988805185
2022-1623896,JARDIN PAULE MINCK,125.02915004007859
2022-1623901,JARDIN PAULE MINCK,266.172201453099
2022-1623909,JARDIN DE NOTRE DAME DE FATIMA,296.34947949371167
2022-1623910,JARDIN DE LA RUE DU SIMPLON (JARDIN D'ENFANTS),131.92383283724504
2022-1623914,SQUARE SAINT-BERNARD - SAID BOUZIRI,179.66816555836192
2022-1623920,SQUARE JEHAN RICTUS,299.33282056159885
2022-1623921,JARDIN DES OISEAUX,193.811808653799
2022-1623930,PROMENADE PC 19 - THIONVILLE - JAURES,146.7540048707354
2022-1623932,SQUARE JEAN LECLAIRE,206.6848036504498
2022-1623934,SQUARE EUGENIE COTTON,299.8278297353378
2022-1623948,SQUARE DE LA VILLA SAINTE-CROIX,239.3491775357252
